T1-4D31 xìng (幸)
T1-4D32 gēng (庚)
T1-4D33 diàn (店)
T1-4D34 fǔ (府)
T1-4D35 dǐ,de (底)
T1-4D36 páo (庖)
T1-4D37 ián (延)
T1-4D38 xián (弦)
T1-4D39 hú (弧)
T1-4D3A nǔ (弩)
T1-4D3B uǎng (往)
T1-4D3C zhēng (征)
T1-4D3D fú (彿)
T1-4D3E bǐ (彼)
T1-4D3F tiǎn (忝)
T1-4D40 zhōng (忠)
T1-4D41 hū (忽)
T1-4D42 niàn (念)
T1-4D43 fèn (忿)
T1-4D44 iàng (怏)
T1-4D45 zhēng,lèng (怔)
T1-4D46 qiè,qüè (怯)
T1-4D47 chù (怵)
T1-4D48 bù (怖)
T1-4D49 guài (怪)
T1-4D4A pà (怕)
T1-4D4B í (怡)
T1-4D4C xìng (性)
T1-4D4D ní (怩)
T1-4D4E fú,bèi,fèi (怫)
T1-4D4F dá (怛)
T1-4D50 huò (或)
T1-4D51 qiáng,zāng (戕)
T1-4D52 fáng (房)
T1-4D53 lì (戾)
T1-4D54 suǒ (所)
T1-4D55 chéng (承)
T1-4D56 lā (拉)
T1-4D57 bàn,pàn (拌)
T1-4D58 zhǔ (拄)
T1-4D59 mǐn (抿)
T1-4D5A fú,bì (拂)
T1-4D5B mǒ,mò (抹)
T1-4D5C jǜ (拒)
T1-4D5D zhāo,sháo,qiáo (招)
T1-4D5E pī,pēi (披)
T1-4D5F tuò,tà,tuō,zhí (拓)
T1-4D60 bá (拔)
T1-4D61 pāo (拋)
T1-4D62 nián,niǎn,diān (拈)
T1-4D63 pēng (抨)
T1-4D64 chōu (抽)
T1-4D65 iā,iá (押)
T1-4D66 guǎi (拐)
T1-4D67 zhuó (拙)
T1-4D68 mǔ (拇)
T1-4D69 pāi,pò,pā,bó (拍)
T1-4D6A dǐ,zhǐ (抵)
T1-4D6B pàn (拚)
T1-4D6C bào (抱)
T1-4D6D jǖ (拘)
T1-4D6E tuō (拖)
