FT2669	U+09706	9706
FT2669	U+09706	BEA0
FT2670	U+0972A	BEA9
FT2671	U+09744	BEAC
FT2672	U+09746	BEAB
FT2673		BEAA
FT2674	U+0975C	BEBB
FT2676S	U+09764	BEC2
FT2677	U+0976B	976B
FT2677	U+0976B	BEC7
FT2678	U+09779	BEC9
FT2679	U+097A8	BED0
FT2680	U+097C3	BED3
FT2681	U+097C6	BED9
FT2682	U+097C8	BED7
FT2684S	U+097DC	BEE4
FT2685S	U+09870	BEF8
FT2687	U+098B6	BEFB
FT2688	U+098E9	BF09
FT2689	U+098EB	BF0D
FT2690	U+09903	BF26
FT2691	U+09909	BF27
FT2692	U+09912	BF3F
FT2693	U+09914	BF35
FT2694	U+09918	BF3C
FT2701	U+09921	BF4D
FT2702	U+0991D	BF3D
FT2703	U+0991E	BF48
FT2704	U+09924	BF52
FT2705	U+09920	BF4C
FT2706	U+0992C	BF65
FT2707	U+0992E	BF61
FT2708	U+0993D	BF8A
FT2709	U+0993E	BF8B
FT2710	U+09942	BF77
FT2711	U+09949	BF7C
FT2712	U+09945	BF94
FT2713	U+09950	BFAF
FT2714	U+0994B	BFA9
FT2715	U+09951	BFB1
