FT2370	U+07953	[U+07953 U+E0104]
FT2371	U+0797A	[U+0797A U+E0102]
FT2372	U+0797F	[U+0797F U+E0102]
FT2373	U+0798A	[U+0798A U+E0105]
FT2374S	U+0799D	[U+0799D U+E0103]
FT2375	U+079A7	[U+079A7 U+E0103]
FT2376	U+079AA	[U+079AA U+E0102]
FT2377	U+079AE	[U+079AE U+E0103]
FT2379	U+07A0D	[U+07A0D U+E0102]
FT2380	U+07A20	[U+07A20 U+E0102]
FT2381	U+07A31	[U+07A31 U+E0103]
FT2382	U+07A3B	[U+07A3B U+E0102]
FT2383S	U+07A62	[U+07A62 U+E0102]
FT2384	U+07A69	[U+07A69 U+E0102]
FT2385	U+07A96	[U+07A96 U+E0102]
FT2386S	U+07ABF	[U+07ABF U+E0102]
FT2387S	U+09083	[U+09083 U+E0105]
FT2388	U+07AD5	[U+07AD5 U+E0102]
FT2389	U+07AED	[U+07AED U+E0102]
FT2390	U+07B4C	[U+07B4C U+E0102]
FT2391	U+07B75	[U+07B75 U+E0102]
FT2392S	U+07B92	[U+07B92 U+E0102]
FT2393	U+07B8F	[U+07B8F U+E0102]
FT2394	U+07BC6	[U+07BC6 U+E0102]
FT2401	U+07C13	[U+07C13 U+E0102]
FT2402	U+07BF7	[U+07BF7 U+E0102]
FT2403	U+07C27	[U+07C27 U+E0102]
FT2406	U+07C50	[U+07C50 U+E0105]
FT2407	U+07C58	[U+07C58 U+E0104]
FT2408	U+07C5F	[U+07C5F U+E0102]
FT2411	U+07CD8	[U+07CD8 U+E0102]
FT2412	U+07CDC	[U+07CDC U+E0102]
FT2416	U+07D46	[U+07D46 U+E0103]
FT2417S	U+07D73	[U+07D73 U+E0103]
FT2418	U+07D8F	[U+07D8F U+E0102]
FT2419	U+07DA3	[U+07DA3 U+E0102]
FT2420	U+07DB5	[U+07DB5 U+E0102]
FT2421	U+07DA2	[U+07DA2 U+E0102]
FT2422S	U+07E0A	[U+07E0A U+E0102]
FT2423	U+07E1F	[U+07E1F U+E0102]
FT2424	U+07E0B	[U+07E0B U+E0102]
FT2425	U+07E22	[U+07E22 U+E0105]
FT2426	U+07E46	[U+07E46 U+E0102]
FT2428	U+07E3B	[U+07E3B U+E0102]
FT2429	U+07E3A	[U+07E3A U+E0102]
FT2431S	U+07E7D	[U+07E7D U+E0102]
FT2433	U+07FAF	[U+07FAF U+E0103]
FT2434	U+07FB8	[U+07FB8 U+E0102]
FT2435	U+07FC5	[U+07FC5 U+E0103]
FT2436	U+07FC6	[U+07FC6 U+E0103]
FT2437	U+07FCA	[U+07FCA U+E0102]
FT2438	U+07FD5	[U+07FD5 U+E0102]
FT2439SS	U+07FE1	[U+07FE1 U+E0104]
FT2440	U+07FE6	[U+07FE6 U+E0102]
FT2441	U+07FE9	[U+07FE9 U+E0104]
FT2442	U+07FF3	[U+07FF3 U+E0102]
FT2443	U+07FF9	[U+07FF9 U+E0102]
FT2444	U+08012	[U+08012 U+E0103]
FT2445S	U+08018	[U+08018 U+E0102]
FT2446	U+08019	[U+08019 U+E0102]
FT2447	U+0801C	[U+0801C U+E0103]
FT2448	U+08021	[U+08021 U+E0102]
FT2449	U+08028	[U+08028 U+E0102]
FT2451	U+08079	[U+08079 U+E0102]
FT2452	U+08093	[U+08093 U+E0102]
FT2453	U+080AD	[U+080AD U+E0102]
FT2454	U+080D6	[U+080D6 U+E0103]
FT2458	U+0818A	[U+0818A U+E0103]
FT2459	U+081A0	[U+081A0 U+E0102]
FT2460	U+081A4	[U+081A4 U+E0102]
FT2461	U+081B8	[U+081B8 U+E0102]
FT2462	U+081C8	[U+081C8 U+E0103]
FT2463	U+081E7	[U+081E7 U+E0102]
FT2464	U+08229	[U+08229 U+E0102]
FT2465	U+08240	[U+08240 U+E0103]
FT2466	U+08258	[U+08258 U+E0104]
FT2467	U+0825D	[U+0825D U+E0102]
FT2468	U+08268	[U+08268 U+E0103]
FT2469	U+08271	[U+08271 U+E0102]
FT2470	U+0827E	[U+0827E U+E0101]
FT2471	U+082AC	[U+082AC U+E0103]
FT2472	U+082F3	[U+082F3 U+E0103]
FT2473	U+08393	[U+08393 U+E0103]
FT2474	U+082F9	[U+082F9 U+E0103]
FT2475	U+082DE	[U+082DE U+E0103]
FT2476	U+0832B	[U+0832B U+E0103]
FT2477	U+0839A	[U+0839A U+E0102]
FT2478	U+083D8	[U+083D8 U+E0103]
FT2479	U+083C1	[U+083C1 U+E0104]
FT2480S	U+083F7	[U+083F7 U+E0103]
